number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--hidden_act,params_--learning_rate,params_--n_head,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
31,0.18305439134431964,2020-09-11 19:48:33.929855,2020-09-11 21:13:16.583316,0 days 01:24:42.653461000,64.0,0.1,relu,0.0013105321445918091,8.0,1.0,128.0,,COMPLETE
32,0.24754403175682896,2020-09-11 19:54:34.328276,2020-09-11 21:20:43.114627,0 days 01:26:08.786351000,128.0,0.1,relu,0.0012152365750120922,2.0,1.0,128.0,,COMPLETE
33,0.2513080211227156,2020-09-11 20:07:42.430750,2020-09-11 21:30:57.411823,0 days 01:23:14.981073000,128.0,0.3,relu,0.0012997512048741092,2.0,1.0,128.0,,COMPLETE
34,0.24684354063237574,2020-09-11 20:09:23.815212,2020-09-11 21:40:12.119387,0 days 01:30:48.304175000,128.0,0.3,relu,0.001211888621732732,2.0,1.0,128.0,,COMPLETE
35,0.25062020553816156,2020-09-11 21:00:27.390617,2020-09-11 22:24:13.359634,0 days 01:23:45.969017000,128.0,0.3,relu,0.001287373267494861,2.0,1.0,128.0,,COMPLETE
36,0.261857368451436,2020-09-11 21:13:16.634643,2020-09-11 22:32:51.647855,0 days 01:19:35.013212000,128.0,0.3,relu,0.0034578132622423634,2.0,1.0,128.0,,COMPLETE
37,0.22857148852287842,2020-09-11 21:20:43.158621,2020-09-11 22:42:52.997028,0 days 01:22:09.838407000,128.0,0.1,relu,0.0009241924703231655,2.0,1.0,128.0,,COMPLETE
38,0.2294011639872215,2020-09-11 21:30:57.442254,2020-09-11 22:53:13.403709,0 days 01:22:15.961455000,128.0,0.1,relu,0.0009363509734046472,2.0,1.0,128.0,,COMPLETE
39,0.21903259594789834,2020-09-11 21:40:12.158332,2020-09-11 23:04:45.438042,0 days 01:24:33.279710000,128.0,0.3,swish,0.0009181885662728791,2.0,1.0,128.0,,COMPLETE
40,0.21860189365943108,2020-09-11 22:24:13.411675,2020-09-11 23:54:51.003097,0 days 01:30:37.591422000,128.0,0.3,swish,0.0009033238189709049,2.0,1.0,128.0,,COMPLETE
41,0.2118219728416477,2020-09-11 22:32:51.696318,2020-09-11 23:55:03.046056,0 days 01:22:11.349738000,128.0,0.3,swish,0.0008679198259793646,2.0,2.0,128.0,,COMPLETE
