number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
28,0.36571532413848107,2020-10-13 07:19:58.162097,2020-10-13 13:47:07.154334,0 days 06:27:08.992237000,128.0,0.0,0.004765726046608061,linear_with_warmup,2.0,4.0,9.0,128.0,5.885181472988102e-06,,COMPLETE
29,0.3251038702141038,2020-10-13 08:40:24.777478,2020-10-13 11:47:20.747152,0 days 03:06:55.969674000,128.0,0.0,0.004704748211461619,constant_with_warmup,2.0,4.0,6.0,256.0,7.905918276471679e-06,,COMPLETE
30,0.2205109062430087,2020-10-13 09:25:11.795060,2020-10-13 12:58:01.987100,0 days 03:32:50.192040000,128.0,0.0,0.004607315428067292,linear_with_warmup,4.0,4.0,9.0,256.0,6.635481169237803e-06,,COMPLETE
31,0.419462674773789,2020-10-13 09:26:40.265320,2020-10-13 16:45:18.681990,0 days 07:18:38.416670000,128.0,0.0,0.00486715799964456,linear_with_warmup,4.0,4.0,9.0,64.0,5.804855182408763e-06,,COMPLETE
32,0.2691363409794722,2020-10-13 10:01:32.643170,2020-10-13 13:43:38.701200,0 days 03:42:06.058030000,128.0,0.0,0.0055777255989589904,linear_with_warmup,4.0,4.0,9.0,256.0,5.736111972751877e-06,,COMPLETE
33,0.358043482145877,2020-10-13 11:47:22.223346,2020-10-13 16:25:24.770644,0 days 04:38:02.547298000,128.0,0.0,0.009638621283027546,linear_with_warmup,4.0,4.0,9.0,256.0,5.264488279169159e-06,,COMPLETE
34,0.34448973923264914,2020-10-13 12:58:03.321747,2020-10-13 17:11:11.751826,0 days 04:13:08.430079000,192.0,0.0,0.009843339553200362,linear_with_warmup,4.0,4.0,9.0,256.0,4.757586293741001e-06,,COMPLETE
35,0.2712116497274348,2020-10-13 13:43:39.898321,2020-10-13 21:24:15.292226,0 days 07:40:35.393905000,192.0,0.0,0.009755564087414778,linear_with_warmup,4.0,4.0,9.0,256.0,3.6502766959873524e-05,,COMPLETE
36,0.27952437460727314,2020-10-13 13:47:08.727370,2020-10-13 20:53:09.191191,0 days 07:06:00.463821000,192.0,0.0,0.009520183714486284,linear_with_warmup,2.0,4.0,9.0,256.0,3.4589318286232965e-05,,COMPLETE
37,0.33458870956699543,2020-10-13 16:25:26.465454,2020-10-13 21:50:54.670103,0 days 05:25:28.204649000,192.0,0.0,0.00951061719393958,linear_with_warmup,2.0,4.0,9.0,256.0,2.289128087101337e-05,,COMPLETE
38,0.2364455813686575,2020-10-13 16:45:21.333195,2020-10-13 21:28:19.829228,0 days 04:42:58.496033000,192.0,0.0,0.008846695371598632,linear_with_warmup,4.0,4.0,6.0,256.0,2.4450147344273797e-05,,COMPLETE
39,0.2464202893978422,2020-10-13 17:11:13.028651,2020-10-13 22:24:38.459632,0 days 05:13:25.430981000,256.0,0.0,0.0011432209213939162,linear_with_warmup,4.0,4.0,6.0,256.0,3.4082924658301495e-05,,COMPLETE
40,,2020-10-13 20:53:10.514665,,,,,,,,,,,,,RUNNING
41,,2020-10-13 21:24:16.689842,,,,,,,,,,,,,RUNNING
42,,2020-10-13 21:28:21.344355,2020-10-13 21:29:05.025555,0 days 00:00:43.681200000,96.0,0.0,0.0013393494304572617,linear_with_warmup,2.0,4.0,10.0,64.0,8.47119709603561e-06,"Trial 42 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
43,,2020-10-13 21:29:06.163915,2020-10-13 21:29:49.705075,0 days 00:00:43.541160000,96.0,0.0,0.006352696638596716,linear_with_warmup,2.0,4.0,10.0,64.0,7.889801914984283e-06,"Trial 43 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
44,,2020-10-13 21:29:50.207560,2020-10-13 21:30:35.074854,0 days 00:00:44.867294000,96.0,0.0,0.006871909485905162,linear_with_warmup,2.0,4.0,10.0,64.0,9.15178057164151e-06,"Trial 44 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
45,,2020-10-13 21:30:35.699714,2020-10-13 21:31:22.093509,0 days 00:00:46.393795000,96.0,0.0,0.0015737782338086045,linear_with_warmup,2.0,4.0,10.0,64.0,9.953971470352619e-06,"Trial 45 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
46,,2020-10-13 21:31:24.319124,2020-10-13 21:32:07.173172,0 days 00:00:42.854048000,96.0,0.0,0.006673706118522765,linear_with_warmup,2.0,4.0,10.0,64.0,6.937594806241398e-06,"Trial 46 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
47,,2020-10-13 21:32:07.579701,2020-10-13 21:32:51.308296,0 days 00:00:43.728595000,96.0,0.0,0.0016359190185163376,linear_with_warmup,2.0,4.0,10.0,64.0,9.280943635837312e-06,"Trial 47 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
48,,2020-10-13 21:32:51.658075,,,,,,,,,,,,,RUNNING
49,,2020-10-13 21:50:56.607280,2020-10-13 21:51:42.372044,0 days 00:00:45.764764000,96.0,0.0,0.0013879804454966034,linear_with_warmup,2.0,4.0,10.0,64.0,8.112634886162162e-06,"Trial 49 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
50,,2020-10-13 21:51:42.719345,2020-10-13 21:52:14.937014,0 days 00:00:32.217669000,96.0,0.0,0.0013825373645881755,linear_with_warmup,2.0,4.0,10.0,64.0,7.907214712243254e-06,"Trial 50 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
51,,2020-10-13 21:52:15.403190,2020-10-13 21:53:01.871556,0 days 00:00:46.468366000,96.0,0.0,0.006714797794910035,linear_with_warmup,2.0,4.0,10.0,64.0,8.74635587426879e-06,"Trial 51 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
52,,2020-10-13 21:53:02.365689,2020-10-13 21:53:41.283621,0 days 00:00:38.917932000,96.0,0.0,0.0014517866413337386,linear_with_warmup,2.0,4.0,10.0,64.0,7.649374592243743e-06,"Trial 52 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
53,,2020-10-13 21:53:41.790673,2020-10-13 21:54:17.676168,0 days 00:00:35.885495000,96.0,0.0,0.0058147598663250595,linear_with_warmup,2.0,4.0,10.0,64.0,8.566503828272546e-06,"Trial 53 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
54,,2020-10-13 21:54:19.592361,2020-10-13 21:56:05.222592,0 days 00:01:45.630231000,96.0,0.0,0.0014974687129733347,linear_with_warmup,2.0,4.0,10.0,64.0,7.871448570366794e-06,"Trial 54 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
55,,2020-10-13 21:56:05.998189,2020-10-13 21:56:47.402074,0 days 00:00:41.403885000,96.0,0.0,0.0012536017530942834,linear_with_warmup,2.0,4.0,10.0,64.0,9.027029627786539e-06,"Trial 55 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
56,,2020-10-13 21:56:48.100697,2020-10-13 21:57:27.554167,0 days 00:00:39.453470000,96.0,0.0,0.0013293699035736484,linear_with_warmup,2.0,4.0,10.0,64.0,7.988027877086245e-06,"Trial 56 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
57,,2020-10-13 21:57:27.929125,2020-10-13 21:58:10.203410,0 days 00:00:42.274285000,96.0,0.0,0.0014840366536630477,linear_with_warmup,2.0,4.0,10.0,64.0,8.041001449425085e-06,"Trial 57 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
58,,2020-10-13 21:58:10.863171,2020-10-13 21:58:51.460696,0 days 00:00:40.597525000,96.0,0.0,0.0013610307823023519,linear_with_warmup,2.0,4.0,10.0,64.0,8.199548373585416e-06,"Trial 58 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
59,,2020-10-13 21:58:52.154380,2020-10-13 21:59:32.110611,0 days 00:00:39.956231000,96.0,0.0,0.001471821046734781,linear_with_warmup,2.0,4.0,10.0,64.0,8.41627170153836e-06,"Trial 59 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
60,,2020-10-13 21:59:33.388752,2020-10-13 22:00:20.128137,0 days 00:00:46.739385000,96.0,0.0,0.0014188682898973906,linear_with_warmup,2.0,4.0,10.0,64.0,7.845273099356162e-06,"Trial 60 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
61,,2020-10-13 22:00:20.935392,2020-10-13 22:01:01.346490,0 days 00:00:40.411098000,96.0,0.0,0.00659662442040606,linear_with_warmup,2.0,4.0,10.0,64.0,7.932027754539928e-06,"Trial 61 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
62,,2020-10-13 22:01:02.331717,2020-10-13 22:01:39.353179,0 days 00:00:37.021462000,96.0,0.0,0.0013280597364761036,linear_with_warmup,2.0,4.0,10.0,64.0,8.843965449041333e-06,"Trial 62 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
63,,2020-10-13 22:01:40.009942,2020-10-13 22:02:20.395759,0 days 00:00:40.385817000,256.0,0.0,0.0013756739215580814,linear_with_warmup,2.0,4.0,10.0,64.0,9.71764941687089e-06,"Trial 63 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
64,,2020-10-13 22:02:22.056643,2020-10-13 22:03:00.470783,0 days 00:00:38.414140000,96.0,0.0,0.005112526204807348,linear_with_warmup,2.0,4.0,10.0,64.0,8.545514601965172e-06,"Trial 64 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
65,,2020-10-13 22:03:01.215839,2020-10-13 22:03:42.551479,0 days 00:00:41.335640000,96.0,0.0,0.0013806252448022634,linear_with_warmup,2.0,4.0,10.0,64.0,8.849462890205507e-06,"Trial 65 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
66,,2020-10-13 22:03:42.983224,2020-10-13 22:04:20.319320,0 days 00:00:37.336096000,96.0,0.0,0.0015636269817322524,linear_with_warmup,2.0,4.0,10.0,64.0,8.088184551777837e-06,"Trial 66 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
67,,2020-10-13 22:04:20.988010,2020-10-13 22:05:06.629226,0 days 00:00:45.641216000,96.0,0.0,0.006478664355375165,linear_with_warmup,2.0,4.0,10.0,64.0,8.584486552996348e-06,"Trial 67 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
68,,2020-10-13 22:05:07.085147,2020-10-13 22:05:47.087518,0 days 00:00:40.002371000,96.0,0.0,0.0015195188552915271,linear_with_warmup,2.0,4.0,10.0,64.0,8.189416750657724e-06,"Trial 68 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
69,,2020-10-13 22:05:48.171868,2020-10-13 22:06:29.882386,0 days 00:00:41.710518000,96.0,0.0,0.0014648660323038,linear_with_warmup,2.0,4.0,10.0,64.0,8.45177908392926e-06,"Trial 69 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
70,,2020-10-13 22:06:30.388681,2020-10-13 22:07:10.385081,0 days 00:00:39.996400000,96.0,0.0,0.0015112985454226546,linear_with_warmup,2.0,4.0,10.0,64.0,8.273801573289007e-06,"Trial 70 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
71,,2020-10-13 22:07:11.077703,2020-10-13 22:07:46.800589,0 days 00:00:35.722886000,96.0,0.0,0.0015216505755648437,linear_with_warmup,2.0,4.0,10.0,64.0,8.393744996500367e-06,"Trial 71 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
72,,2020-10-13 22:07:47.236266,2020-10-13 22:08:25.509183,0 days 00:00:38.272917000,256.0,0.0,0.006792498964546129,linear_with_warmup,2.0,4.0,10.0,64.0,7.737679068774955e-06,"Trial 72 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
73,,2020-10-13 22:08:26.079709,2020-10-13 22:09:02.431756,0 days 00:00:36.352047000,96.0,0.0,0.0014995461187427518,linear_with_warmup,2.0,4.0,10.0,64.0,8.17189473970355e-06,"Trial 73 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
74,,2020-10-13 22:09:03.081660,2020-10-13 22:09:41.890606,0 days 00:00:38.808946000,96.0,0.0,0.0012977125122585337,linear_with_warmup,2.0,4.0,10.0,64.0,8.299365513338138e-06,"Trial 74 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
75,,2020-10-13 22:09:42.225268,2020-10-13 22:10:22.377903,0 days 00:00:40.152635000,96.0,0.0,0.0013260033162747133,linear_with_warmup,2.0,4.0,10.0,64.0,8.01417902115147e-06,"Trial 75 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
76,,2020-10-13 22:10:22.774442,2020-10-13 22:11:02.179649,0 days 00:00:39.405207000,96.0,0.0,0.001432923369497853,linear_with_warmup,2.0,4.0,10.0,64.0,8.680296668593798e-06,"Trial 76 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
77,,2020-10-13 22:11:03.090622,2020-10-13 22:11:41.795679,0 days 00:00:38.705057000,256.0,0.0,0.001396172135784355,linear_with_warmup,2.0,4.0,10.0,64.0,8.327213444683103e-06,"Trial 77 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
78,,2020-10-13 22:11:42.147828,2020-10-13 22:12:22.279000,0 days 00:00:40.131172000,96.0,0.0,0.0013195618618100367,linear_with_warmup,2.0,4.0,10.0,64.0,9.3303499796452e-06,"Trial 78 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
79,,2020-10-13 22:12:24.942501,2020-10-13 22:13:23.510172,0 days 00:00:58.567671000,96.0,0.0,0.0013714362925880382,linear_with_warmup,2.0,4.0,10.0,64.0,8.16161953346429e-06,"Trial 79 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
80,,2020-10-13 22:13:26.069912,2020-10-13 22:14:05.204055,0 days 00:00:39.134143000,96.0,0.0,0.0057013074910253776,linear_with_warmup,2.0,4.0,8.0,64.0,8.559098348169426e-06,"Trial 80 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
81,,2020-10-13 22:14:06.330884,2020-10-13 22:14:46.141864,0 days 00:00:39.810980000,96.0,0.0,0.0014428898810932424,linear_with_warmup,2.0,4.0,10.0,64.0,9.113978974651408e-06,"Trial 81 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
82,,2020-10-13 22:14:46.495623,2020-10-13 22:15:25.713725,0 days 00:00:39.218102000,96.0,0.0,0.0015807189620035988,linear_with_warmup,2.0,4.0,10.0,64.0,7.828253057745735e-06,"Trial 82 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
83,,2020-10-13 22:15:26.143841,2020-10-13 22:16:07.404568,0 days 00:00:41.260727000,96.0,0.0,0.0014300418592679113,linear_with_warmup,2.0,4.0,10.0,64.0,8.50850320685683e-06,"Trial 83 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
84,,2020-10-13 22:16:07.829674,2020-10-13 22:16:46.796304,0 days 00:00:38.966630000,256.0,0.0,0.0012999209928237616,linear_with_warmup,2.0,4.0,10.0,64.0,8.971952019359872e-06,"Trial 84 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
85,,2020-10-13 22:16:47.163307,2020-10-13 22:17:27.397073,0 days 00:00:40.233766000,96.0,0.0,0.0013524553535450643,linear_with_warmup,2.0,4.0,10.0,64.0,8.182630230440494e-06,"Trial 85 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
86,,2020-10-13 22:17:29.926435,2020-10-13 22:18:10.436992,0 days 00:00:40.510557000,96.0,0.0,0.001578101205447523,linear_with_warmup,2.0,4.0,10.0,64.0,9.373238634005451e-06,"Trial 86 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
87,,2020-10-13 22:18:10.996560,2020-10-13 22:18:50.468943,0 days 00:00:39.472383000,96.0,0.0,0.00662734121097965,linear_with_warmup,2.0,4.0,10.0,64.0,4.185058331539192e-06,"Trial 87 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
88,,2020-10-13 22:18:50.922097,2020-10-13 22:19:30.300046,0 days 00:00:39.377949000,96.0,0.0,0.006695324665679471,linear_with_warmup,2.0,4.0,10.0,64.0,7.65898638206555e-06,"Trial 88 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
89,,2020-10-13 22:19:30.740873,2020-10-13 22:20:10.752929,0 days 00:00:40.012056000,96.0,0.0,0.006400788403460608,linear_with_warmup,2.0,4.0,10.0,64.0,8.221746280312437e-06,"Trial 89 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
90,,2020-10-13 22:20:11.286082,2020-10-13 22:20:47.237055,0 days 00:00:35.950973000,96.0,0.0,0.0066321706158897,linear_with_warmup,2.0,4.0,10.0,64.0,8.568766131084073e-06,"Trial 90 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
91,,2020-10-13 22:20:47.790625,2020-10-13 22:21:32.765041,0 days 00:00:44.974416000,96.0,0.0,0.0015029322474628514,linear_with_warmup,2.0,4.0,10.0,64.0,8.051534257949964e-06,"Trial 91 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
92,,2020-10-13 22:21:34.991694,2020-10-13 22:22:12.483580,0 days 00:00:37.491886000,96.0,0.0,0.00648273777517304,linear_with_warmup,2.0,4.0,10.0,64.0,8.112684857611747e-06,"Trial 92 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
93,,2020-10-13 22:22:12.935250,2020-10-13 22:22:53.522465,0 days 00:00:40.587215000,96.0,0.0,0.0065585307945131765,linear_with_warmup,2.0,4.0,10.0,64.0,8.38259301521294e-06,"Trial 93 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
94,,2020-10-13 22:22:55.185801,2020-10-13 22:23:33.097134,0 days 00:00:37.911333000,96.0,0.0,0.0014802682363640113,linear_with_warmup,2.0,4.0,10.0,64.0,7.861040453801634e-06,"Trial 94 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
95,,2020-10-13 22:23:33.396176,2020-10-13 22:24:15.379879,0 days 00:00:41.983703000,96.0,0.0,0.00148496952292201,linear_with_warmup,2.0,4.0,10.0,64.0,9.033472888609913e-06,"Trial 95 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
96,,2020-10-13 22:24:17.008093,2020-10-13 22:26:05.329948,0 days 00:01:48.321855000,96.0,0.0,0.0014640834252709787,linear_with_warmup,2.0,4.0,10.0,64.0,9.583829329214872e-06,"Trial 96 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
97,,2020-10-13 22:24:40.746423,2020-10-13 22:25:25.547631,0 days 00:00:44.801208000,96.0,0.0,0.00662491416344139,linear_with_warmup,2.0,4.0,10.0,64.0,8.842049357286322e-06,"Trial 97 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
98,,2020-10-13 22:25:26.702072,2020-10-13 22:26:23.123828,0 days 00:00:56.421756000,96.0,0.0,0.005991986984049375,linear_with_warmup,2.0,4.0,10.0,64.0,8.584935990875795e-06,"Trial 98 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
99,,2020-10-13 22:26:05.811126,2020-10-13 22:26:43.507321,0 days 00:00:37.696195000,96.0,0.0,0.006863403586796393,linear_with_warmup,2.0,4.0,10.0,64.0,9.33318356759204e-06,"Trial 99 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
100,,2020-10-13 22:26:24.997271,2020-10-13 22:27:05.192302,0 days 00:00:40.195031000,96.0,0.0,0.006574918124933518,linear_with_warmup,2.0,4.0,10.0,64.0,8.36434923357606e-06,"Trial 100 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
101,,2020-10-13 22:26:45.148875,2020-10-13 22:27:24.643207,0 days 00:00:39.494332000,96.0,0.0,0.006773859548198922,linear_with_warmup,2.0,4.0,10.0,64.0,9.306554967876404e-06,"Trial 101 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
102,,2020-10-13 22:27:07.038226,2020-10-13 22:27:45.717178,0 days 00:00:38.678952000,96.0,0.0,0.0070471532898737045,linear_with_warmup,2.0,4.0,10.0,64.0,8.154857770065221e-06,"Trial 102 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
103,,2020-10-13 22:27:25.471075,2020-10-13 22:28:05.708679,0 days 00:00:40.237604000,96.0,0.0,0.00678138115780408,linear_with_warmup,2.0,4.0,10.0,64.0,9.297597934228752e-06,"Trial 103 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
104,,2020-10-13 22:27:46.338708,2020-10-13 22:28:35.293381,0 days 00:00:48.954673000,96.0,0.0,0.006805741563001325,linear_with_warmup,2.0,4.0,10.0,64.0,8.66644719318966e-06,"Trial 104 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
105,0.4112671357836764,2020-10-14 01:13:08.875855,2020-10-14 08:46:19.716024,0 days 07:33:10.840169000,96.0,0.0,0.006036791436016674,linear_with_warmup,2.0,4.0,10.0,64.0,7.86231281370592e-06,,COMPLETE
106,0.4428469808387164,2020-10-14 01:13:09.456775,2020-10-14 09:08:27.790236,0 days 07:55:18.333461000,96.0,0.0,0.006309770163663806,linear_with_warmup,2.0,4.0,10.0,64.0,7.585330946016463e-06,,COMPLETE
