number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
26,0.24751190549511828,2020-09-24 19:29:33.313832,2020-09-25 04:34:33.917431,0 days 09:05:00.603599000,64.0,0.0,0.002412960644586035,constant_with_warmup,1.0,5.0,256.0,1.2023224838604313e-05,,COMPLETE
27,,2020-09-25 01:13:47.375633,2020-09-25 12:34:04.533132,0 days 11:20:17.157499000,256.0,0.0,0.0023355647727170315,constant_with_warmup,1.0,5.0,64.0,1.1968278169788097e-05,"Trial 27 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
28,0.25813376300984264,2020-09-25 03:39:52.469137,2020-09-25 13:31:53.211565,0 days 09:52:00.742428000,256.0,0.1,0.002753933416631437,constant_with_warmup,1.0,4.0,64.0,1.419993019035832e-05,,COMPLETE
29,0.0997033413388336,2020-09-25 04:34:33.974680,2020-09-25 14:39:08.559395,0 days 10:04:34.584715000,256.0,0.1,0.009582966446943305,constant_with_warmup,1.0,4.0,64.0,7.130195530180378e-05,,COMPLETE
30,0.2543135862024351,2020-09-25 06:20:25.136578,2020-09-25 16:15:35.522109,0 days 09:55:10.385531000,256.0,0.1,0.0027582212540481917,constant_with_warmup,1.0,4.0,64.0,6.19893738864591e-05,,COMPLETE
31,0.256452230497752,2020-09-25 07:36:32.401759,2020-09-25 14:55:57.639825,0 days 07:19:25.238066000,256.0,0.1,0.002690350788784528,constant_with_warmup,1.0,4.0,128.0,6.116827955573935e-05,,COMPLETE
32,0.2663430767497548,2020-09-25 12:34:04.573577,2020-09-25 19:45:23.417394,0 days 07:11:18.843817000,256.0,0.1,0.0009660705963674174,constant_with_warmup,1.0,4.0,128.0,5.214495378279618e-05,,COMPLETE
33,0.2671923405714162,2020-09-25 13:31:53.286185,2020-09-25 20:59:01.135265,0 days 07:27:07.849080000,256.0,0.2,0.0010313520078357877,constant_with_warmup,1.0,4.0,128.0,5.292579508469213e-05,,COMPLETE
34,0.2318375006672089,2020-09-25 14:39:08.735551,2020-09-25 21:52:26.163520,0 days 07:13:17.427969000,256.0,0.2,0.0009981926120123973,constant_with_warmup,2.0,3.0,128.0,4.840647276703619e-05,,COMPLETE
35,0.20338476747486628,2020-09-25 14:55:57.796078,2020-09-25 22:13:36.249312,0 days 07:17:38.453234000,256.0,0.2,0.0010619497509737933,cosine_with_warmup,2.0,3.0,128.0,3.8140069013298925e-05,,COMPLETE
36,0.159019311853665,2020-09-25 16:15:35.592656,2020-09-25 23:07:20.193319,0 days 06:51:44.600663000,64.0,0.2,0.0010817109325224263,cosine_with_warmup,2.0,3.0,128.0,1.8159928141905912e-05,,COMPLETE
37,,2020-09-25 19:45:23.496022,2020-09-25 21:54:45.673088,0 days 02:09:22.177066000,256.0,0.2,0.0009228699140777277,constant_with_warmup,1.0,5.0,128.0,4.353705637186656e-05,"Trial 37 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
38,0.20032899021783665,2020-09-25 20:59:01.192948,2020-09-26 04:01:29.700431,0 days 07:02:28.507483000,256.0,0.2,0.0010911414996204744,cosine_with_warmup,2.0,3.0,128.0,4.3486039731530976e-05,,COMPLETE
39,0.19541807453949295,2020-09-25 21:52:26.214984,2020-09-26 04:57:04.857096,0 days 07:04:38.642112000,256.0,0.2,0.00047564381751244537,cosine_with_warmup,2.0,3.0,128.0,9.360331290694686e-05,,COMPLETE
40,0.1986999539230677,2020-09-25 21:54:45.685993,2020-09-26 04:44:47.232602,0 days 06:50:01.546609000,256.0,0.2,0.000530666721647562,cosine_with_warmup,2.0,3.0,128.0,8.18164872474111e-05,,COMPLETE
41,0.25530974725595396,2020-09-25 22:13:36.291762,2020-09-26 05:30:47.632589,0 days 07:17:11.340827000,256.0,0.2,0.0005301516386390742,constant_with_warmup,1.0,4.0,128.0,9.69108538329369e-05,,COMPLETE
42,0.25615788398758904,2020-09-25 23:07:20.242121,2020-09-26 06:38:42.187371,0 days 07:31:21.945250000,256.0,0.2,0.0005467318330131578,constant_with_warmup,1.0,4.0,128.0,8.60539316115623e-05,,COMPLETE
43,0.25393814762693745,2020-09-26 04:01:29.807595,2020-09-26 11:26:59.541276,0 days 07:25:29.733681000,256.0,0.2,0.0004908476345407876,constant_with_warmup,1.0,4.0,128.0,9.788322419228706e-05,,COMPLETE
44,0.24874937678105755,2020-09-26 04:44:47.277651,2020-09-26 11:05:19.216987,0 days 06:20:31.939336000,256.0,0.1,0.0005472877844855109,constant_with_warmup,1.0,4.0,192.0,3.0384605704393823e-05,,COMPLETE
45,0.2554862983771814,2020-09-26 04:57:04.898930,2020-09-26 11:33:21.235830,0 days 06:36:16.336900000,256.0,0.1,0.0008035938321632933,constant_with_warmup,1.0,4.0,192.0,2.8805876994106665e-05,,COMPLETE
46,0.2563914292986479,2020-09-26 05:30:47.675213,2020-09-26 11:48:01.525272,0 days 06:17:13.850059000,256.0,0.1,0.0008506099820595292,constant_with_warmup,1.0,4.0,192.0,2.8976346517473395e-05,,COMPLETE
47,0.21596017801171388,2020-09-26 06:38:42.258429,2020-09-26 12:02:32.331463,0 days 05:23:50.073034000,256.0,0.1,0.00034354667082883906,constant_with_warmup,1.0,2.0,192.0,1.811761708279878e-05,,COMPLETE
48,0.3017624078541192,2020-09-26 11:05:19.310140,2020-09-27 00:08:13.293316,0 days 13:02:53.983176000,256.0,0.1,0.0007826777795516414,constant_with_warmup,1.0,5.0,64.0,2.0444843533748995e-05,,COMPLETE
49,0.2777096260126037,2020-09-26 11:26:59.580907,2020-09-26 23:55:10.767541,0 days 12:28:11.186634000,128.0,0.1,0.0008418287234540906,constant_with_warmup,1.0,5.0,64.0,5.093452560701903e-05,,COMPLETE
50,0.257286350627454,2020-09-26 11:33:21.276202,2020-09-26 19:47:03.150233,0 days 08:13:41.874031000,128.0,0.1,0.0012954156653044834,constant_with_warmup,1.0,2.0,64.0,1.7271821972144064e-05,,COMPLETE
51,0.24256666474487515,2020-09-26 11:48:01.559283,2020-09-27 00:05:45.579606,0 days 12:17:44.020323000,128.0,0.1,0.000296685270854632,constant_with_warmup,1.0,5.0,64.0,4.412207805659117e-06,,COMPLETE
52,0.301068481692706,2020-09-26 12:02:32.367099,2020-09-27 00:05:54.111933,0 days 12:03:21.744834000,128.0,0.1,0.004683149052573698,linear_with_warmup,1.0,5.0,64.0,5.077552953573959e-05,,COMPLETE
53,0.2503573876255477,2020-09-26 19:47:03.242185,2020-09-27 08:03:39.296286,0 days 12:16:36.054101000,32.0,0.1,0.0052278914940365765,linear_with_warmup,1.0,5.0,64.0,4.939252715399727e-05,,COMPLETE
54,0.2657179426774296,2020-09-26 23:55:10.852553,2020-09-27 12:48:54.817157,0 days 12:53:43.964604000,128.0,0.1,0.0008667558777516193,linear_with_warmup,1.0,5.0,64.0,5.2198607817562426e-05,,COMPLETE
55,0.2554140772564319,2020-09-27 00:05:45.618127,2020-09-27 12:03:25.760913,0 days 11:57:40.142786000,128.0,0.3,0.0006871016318315292,linear_with_warmup,1.0,5.0,64.0,5.214793863239699e-05,,COMPLETE
56,0.11300449005593835,2020-09-27 00:05:54.258591,2020-09-27 12:14:24.155799,0 days 12:08:29.897208000,128.0,0.3,0.005767717174890485,linear_with_warmup,3.0,5.0,64.0,5.0331396793101675e-05,,COMPLETE
57,0.21241705177156414,2020-09-27 00:08:13.331067,2020-09-27 12:30:24.323270,0 days 12:22:10.992203000,128.0,0.3,0.0006864582822273106,linear_with_warmup,3.0,5.0,64.0,2.3350293339239297e-05,,COMPLETE
