number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
107,,2020-10-07 04:47:57.619348,2020-10-07 04:48:39.403766,0 days 00:00:41.784418000,320.0,0.1,0.0002089069739437363,linear_with_warmup,8.0,3.0,8.0,128.0,2.2718825354800107e-06,"Trial 107 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
108,,2020-10-07 04:48:39.999060,2020-10-07 09:30:38.848869,0 days 04:41:58.849809000,320.0,0.1,0.0002300665535360172,linear_with_warmup,8.0,3.0,8.0,128.0,1.6387130713257824e-06,"Trial 108 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
109,,2020-10-07 05:30:08.503491,2020-10-07 10:03:44.118032,0 days 04:33:35.614541000,256.0,0.1,0.0002096047947247308,linear_with_warmup,8.0,3.0,8.0,128.0,2.3719237456161997e-06,"Trial 109 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
110,,2020-10-07 06:08:00.503187,2020-10-07 09:59:45.948640,0 days 03:51:45.445453000,256.0,0.1,0.00021356336354235003,linear_with_warmup,8.0,3.0,8.0,128.0,2.4871695435116005e-06,"Trial 110 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
111,,2020-10-07 06:33:34.860655,2020-10-07 06:38:17.771184,0 days 00:04:42.910529000,256.0,0.1,0.00022442953921086368,linear_with_warmup,8.0,3.0,8.0,128.0,2.505969572349335e-06,"Trial 111 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
112,,2020-10-07 06:38:06.000519,2020-10-07 10:06:38.901526,0 days 03:28:32.901007000,320.0,0.1,0.00022080867065004975,linear_with_warmup,8.0,3.0,8.0,128.0,2.361941834321712e-06,"Trial 112 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
113,,2020-10-07 06:38:18.514451,2020-10-07 11:07:16.301350,0 days 04:28:57.786899000,256.0,0.1,0.00020907622204695392,linear_with_warmup,8.0,3.0,8.0,128.0,2.619132178524195e-06,"Trial 113 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
114,,2020-10-07 06:55:43.189886,2020-10-07 06:56:33.437315,0 days 00:00:50.247429000,320.0,0.1,0.0002083130585863236,linear_with_warmup,8.0,3.0,8.0,128.0,2.3007882549115735e-06,"Trial 114 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
115,,2020-10-07 06:56:34.071497,2020-10-07 06:57:25.277195,0 days 00:00:51.205698000,320.0,0.1,0.00022088325731610514,linear_with_warmup,8.0,3.0,8.0,128.0,2.687634742599607e-06,"Trial 115 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
116,,2020-10-07 06:57:27.507743,2020-10-07 10:59:42.286701,0 days 04:02:14.778958000,320.0,0.1,0.00022963456119953592,linear_with_warmup,8.0,3.0,8.0,128.0,1.9696905597131155e-06,"Trial 116 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
117,,2020-10-07 07:16:36.523857,2020-10-07 07:17:00.528270,0 days 00:00:24.004413000,320.0,0.1,0.0002673328870468935,linear_with_warmup,8.0,3.0,8.0,128.0,2.082525488515875e-06,"Trial 117 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f13b8b789b0>,)",FAIL
118,,2020-10-07 07:17:00.732127,2020-10-07 07:17:47.891288,0 days 00:00:47.159161000,320.0,0.1,0.00021680906940152561,linear_with_warmup,8.0,3.0,8.0,128.0,2.4770182332143647e-06,"Trial 118 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
119,,2020-10-07 07:17:48.122511,,,,,,,,,,,,,RUNNING
120,,2020-10-07 07:39:36.424632,2020-10-07 07:53:32.401757,0 days 00:13:55.977125000,320.0,0.1,0.000245661231557188,linear_with_warmup,8.0,3.0,8.0,128.0,1.9992101621273117e-06,"Trial 120 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
121,,2020-10-07 07:53:32.619937,2020-10-07 07:54:12.959222,0 days 00:00:40.339285000,320.0,0.1,0.00023199908895577218,linear_with_warmup,8.0,3.0,8.0,128.0,2.20362793856776e-06,"Trial 121 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
122,,2020-10-07 07:54:13.249786,2020-10-07 07:54:55.358176,0 days 00:00:42.108390000,320.0,0.1,0.00024061559227157135,linear_with_warmup,8.0,3.0,8.0,128.0,2.4251908372296685e-06,"Trial 122 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
123,,2020-10-07 07:54:55.487559,2020-10-07 07:55:47.594657,0 days 00:00:52.107098000,320.0,0.1,0.00022182144073891352,linear_with_warmup,8.0,3.0,8.0,128.0,2.605679075575624e-06,"Trial 123 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
124,,2020-10-07 07:54:56.101718,2020-10-07 07:55:46.794301,0 days 00:00:50.692583000,256.0,0.1,0.00022365538087397137,linear_with_warmup,8.0,3.0,8.0,128.0,2.6952186908807854e-06,"Trial 124 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
125,,2020-10-07 07:55:49.441114,2020-10-07 08:01:33.377264,0 days 00:05:43.936150000,320.0,0.1,0.00022180960829530028,linear_with_warmup,8.0,3.0,8.0,128.0,2.255616822353157e-06,"Trial 125 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
126,,2020-10-07 07:55:49.932805,2020-10-07 12:10:08.248448,0 days 04:14:18.315643000,256.0,0.1,0.00023589167200699848,linear_with_warmup,8.0,3.0,8.0,128.0,2.3369177575161196e-06,"Trial 126 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
127,,2020-10-07 08:01:33.497199,2020-10-07 08:02:21.428012,0 days 00:00:47.930813000,320.0,0.1,0.00026069238988797204,linear_with_warmup,8.0,3.0,8.0,128.0,1.7271030164851217e-06,"Trial 127 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
128,,2020-10-07 08:02:21.562412,2020-10-07 08:03:04.674243,0 days 00:00:43.111831000,320.0,0.1,0.00024202457861203347,linear_with_warmup,1.0,3.0,8.0,128.0,2.4736391717408817e-06,"Trial 128 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
129,,2020-10-07 08:03:08.286092,2020-10-07 08:03:46.357380,0 days 00:00:38.071288000,320.0,0.1,0.00027781544987610593,linear_with_warmup,1.0,3.0,8.0,128.0,2.30067981694027e-06,"Trial 129 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
130,,2020-10-07 08:03:46.550804,2020-10-07 08:04:12.615448,0 days 00:00:26.064644000,320.0,0.1,0.0002408726380700226,linear_with_warmup,8.0,3.0,8.0,128.0,2.3481379110281147e-06,"Trial 130 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f13a8a9deb8>,)",FAIL
131,,2020-10-07 08:04:13.048480,2020-10-07 08:37:10.071167,0 days 00:32:57.022687000,320.0,0.1,0.00024060676465272052,linear_with_warmup,8.0,3.0,8.0,128.0,2.342925129728935e-06,"Trial 131 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
