number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
36,0.3084111553626966,2020-09-14 11:51:31.627161,2020-09-14 13:42:58.916854,0 days 01:51:27.289693000,64,0.1,0.009017174303920772,1,64,,COMPLETE
37,0.31826023134483444,2020-09-14 12:04:51.365575,2020-09-14 13:41:47.178344,0 days 01:36:55.812769000,64,0.1,0.009488576603777513,1,64,,COMPLETE
38,0.30395684738868406,2020-09-14 12:40:49.685317,2020-09-14 14:18:23.345270,0 days 01:37:33.659953000,64,0.1,0.009249288321599517,1,64,,COMPLETE
39,0.31060793276402027,2020-09-14 12:43:30.261136,2020-09-14 14:24:37.181856,0 days 01:41:06.920720000,64,0.1,0.009117334151965186,1,64,,COMPLETE
40,0.17370588529658668,2020-09-14 13:15:41.610544,2020-09-14 14:54:14.589702,0 days 01:38:32.979158000,64,0.1,0.01099669986297823,2,64,,COMPLETE
41,0.12660687589085526,2020-09-14 13:41:47.297069,2020-09-14 15:19:20.935212,0 days 01:37:33.638143000,64,0.1,0.029463588404015622,2,64,,COMPLETE
42,0.08866490037067787,2020-09-14 13:42:59.009659,2020-09-14 14:52:03.009190,0 days 01:09:03.999531000,64,0.1,0.028921525230346502,2,256,,COMPLETE
43,0.0990435948524661,2020-09-14 14:18:23.428583,2020-09-14 15:19:29.974945,0 days 01:01:06.546362000,32,0.0,0.027603394893358592,2,256,,COMPLETE
44,0.09467472322497024,2020-09-14 14:24:37.213290,2020-09-14 15:28:48.782803,0 days 01:04:11.569513000,32,0.0,0.03241160949884685,2,256,,COMPLETE
45,0.07726039624015371,2020-09-14 14:52:03.049507,2020-09-14 16:37:19.825963,0 days 01:45:16.776456000,32,0.0,0.027167188696239495,2,64,,COMPLETE
46,0.22079292979708348,2020-09-14 14:54:14.633012,2020-09-14 16:29:15.001489,0 days 01:35:00.368477000,64,0.1,0.0286209148265646,1,64,,COMPLETE
47,0.3114183337934869,2020-09-14 15:19:20.973793,2020-09-14 16:57:00.088395,0 days 01:37:39.114602000,64,0.0,0.014927038841580295,1,64,,COMPLETE
48,0.30625612186327483,2020-09-14 15:19:30.005827,2020-09-14 16:54:51.312635,0 days 01:35:21.306808000,64,0.1,0.014888325959633039,1,64,,COMPLETE
49,0.29340934224948095,2020-09-14 15:28:48.816860,2020-09-14 17:09:30.938721,0 days 01:40:42.121861000,64,0.1,0.015347050634161823,1,64,,COMPLETE
